,redshift,Xe
531,4690.0,1.07951338565
532,4680.0,1.07951338565
533,4670.0,1.07951338565
534,4660.0,1.07951338565
535,4650.0,1.07951338565
536,4640.0,1.07951338565
537,4630.0,1.07951338565
538,4620.0,1.07951338565
539,4610.0,1.07951338565
540,4600.0,1.07951338565
541,4590.0,1.07951338565
542,4580.0,1.07951338565
543,4570.0,1.07951338565
544,4560.0,1.07951338565
545,4550.0,1.07951338565
546,4540.0,1.07951338565
547,4530.0,1.07951338565
548,4520.0,1.07951338565
549,4510.0,1.07951338565
550,4500.0,1.07951338565
551,4490.0,1.07951338565
552,4480.0,1.07951338565
553,4470.0,1.07951338565
554,4460.0,1.07951338565
555,4450.0,1.07951338565
556,4440.0,1.07951338565
557,4430.0,1.07951338565
558,4420.0,1.07951338565
559,4410.0,1.07951338565
560,4400.0,1.07951338565
561,4390.0,1.07951338565
562,4380.0,1.07951338565
563,4370.0,1.07951338565
564,4360.0,1.07951338565
565,4350.0,1.07951338565
566,4340.0,1.07951338565
567,4330.0,1.07951338565
568,4320.0,1.07951338565
569,4310.0,1.07951338565
570,4300.0,1.07951338565
571,4290.0,1.07951338565
572,4280.0,1.07951338565
573,4270.0,1.07951338565
574,4260.0,1.07951338565
575,4250.0,1.07951338565
576,4240.0,1.07951338565
577,4230.0,1.07951338565
578,4220.0,1.07951338565
579,4210.0,1.07951338565
580,4200.0,1.07951338565
581,4190.0,1.07951338565
582,4180.0,1.07951338565
583,4170.0,1.07951338565
584,4160.0,1.07951338565
585,4150.0,1.07951338565
586,4140.0,1.07951338565
587,4130.0,1.07951338565
588,4120.0,1.07951338565
589,4110.0,1.07951338565
590,4100.0,1.07951338565
591,4090.0,1.07951338565
592,4080.0,1.07951338565
593,4070.0,1.07951338565
594,4060.0,1.07951338565
595,4050.0,1.07951338565
596,4040.0,1.07951338565
597,4030.0,1.07951338565
598,4020.0,1.07951338565
599,4010.0,1.07951338565
600,4000.0,1.07951338565
601,3990.0,1.07951338565
602,3980.0,1.07951338565
603,3970.0,1.07951338565
604,3960.0,1.07951338565
605,3950.0,1.07951338565
606,3940.0,1.07951338565
607,3930.0,1.07951338565
608,3920.0,1.07951338565
609,3910.0,1.07951338565
610,3900.0,1.07951338565
611,3890.0,1.07951338565
612,3880.0,1.07951338565
613,3870.0,1.07951338565
614,3860.0,1.07951338565
615,3850.0,1.07951338565
616,3840.0,1.07951338565
617,3830.0,1.07951338565
618,3820.0,1.07951338565
619,3810.0,1.07951338565
620,3800.0,1.07951338565
621,3790.0,1.07951338565
622,3780.0,1.07951338565
623,3770.0,1.07951338565
624,3760.0,1.07951338565
625,3750.0,1.07951338565
626,3740.0,1.07951338565
627,3730.0,1.07951338565
628,3720.0,1.07951338565
629,3710.0,1.07951338565
630,3700.0,1.07951338565
631,3690.0,1.07951338565
